name,smiles,mol_weight,logP,c_count,n_count,o_count,rings,aromatic,heavy_atoms,double_bonds,binding_energy,kd,ic50,docking_score,absorption,ppb,clearance,half_life,ames_score,herg_ic50,rmsd,mm_pbsa,overall_score
Remdesivir_0,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,599.8778007456847,1.691229140198042,27,6,8,4,1,41,9,-8.881810178271044,2.5594047929482073,51.331757672456206,-9.822615087752823,20.0,79.17890434440655,1.0,14.867369458305816,0.343192947369919,36.38738303148672,0.7168841832427092,-48.10588948093546,56.654626465208466
Remdesivir_1,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,585.2020637194112,2.348885537253333,27,6,8,4,1,41,9,-9.23777934208357,1.342574124311396,33.737785941408724,-10.317962236107356,20.0,92.77719015137242,1.0,13.467556409375847,0.2954292573559938,32.03961195904213,0.8713878098087814,-52.95608525544579,56.6099796234546
Remdesivir_2,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,621.3833851105824,2.1751328233611145,27,6,8,4,1,41,9,-9.76844804961184,2.3459293555080247,34.236550766934826,-11.00984478120801,20.0,95.8702254760715,1.0,11.217078142088198,0.4077939122718261,29.33376825725877,0.8742366760208347,-59.12214281784624,47.58112708790543
Remdesivir_3,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,588.2369689989905,2.2021969807540396,27,6,8,4,1,41,9,-9.729248412346283,2.4755743589748063,45.967999152443404,-10.476123871332414,20.0,80.12681374089406,1.0,10.375456019265144,0.3306744562469312,32.37458777330371,1.1306742472483606,-47.44890220154283,51.358627857105496
Remdesivir_4,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,611.7842471335226,2.037557471355213,27,6,8,4,1,41,9,-8.431825965519657,2.6136637382341092,52.941790771866295,-9.612596556599154,20.52999761247975,88.50224095292958,1.0,12.71407524829757,0.38322983823684487,38.1193233656323,0.7346564303704302,-44.90559874539771,48.67945261047262
Remdesivir_5,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,595.1742392430531,1.9085706911647027,27,6,8,4,1,41,9,-9.65081911386449,1.8416557210762572,26.83576983753207,-10.522872241530692,20.0,83.9431648440673,1.0,13.260847921780096,0.44489884945736696,23.73816244078388,1.0640297956193427,-48.418041114267105,48.86887308805005
Remdesivir_6,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,591.7174065016777,1.8271077886262561,27,6,8,4,1,41,9,-9.68134971088914,1.5072716770566457,38.46731692142519,-10.52801902776331,20.0,77.0379436513237,1.0,13.990002219319368,0.3401786564783147,36.270212589596284,0.8450557792599551,-44.13217389089212,56.21224196459029
Remdesivir_7,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,597.1451840951718,2.3717820827209604,27,6,8,4,1,41,9,-9.54702214888374,2.4244292082178482,22.33008522124763,-10.5405737673372,20.0,69.72903406359669,1.0,12.64707096694646,0.32655280320558566,33.572000010478824,0.9438641496001746,-39.00715908948231,59.21151881747899
Remdesivir_8,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,597.3113253087702,2.0323058305935793,27,6,8,4,1,41,9,-9.763670942413167,1.5110067770713795,41.94194023569542,-10.883143956523105,20.0,99.0,1.0,13.935594684667224,0.36493107818140447,29.54243070666473,1.1546632972338478,-45.5450186062188,54.27647402499925
Remdesivir_9,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,610.2375095240986,1.7867353463005373,27,6,8,4,1,41,9,-9.270294566141342,1.936995359445471,25.66359080217633,-10.069113068787798,20.0,73.12770939895448,1.0,13.531802730175283,0.3414928839608567,28.01448913287833,0.8570541641347411,-52.64269683319589,57.34883983484533
