rank,name,drug_id,binding_score,predicted_ic50_nm,binding_strength
1,Glecaprevir,CID67683334,1.0,10.401677355183839,strong
2,Oseltamivir,CID65028,0.9923589061368003,10.737837519930647,strong
3,Nirmatrelvir,CID155903259,0.9901307438825275,10.837893147334258,strong
4,Cabotegravir,CID11957837,0.9899347826096877,10.846737265978582,strong
5,"(4R)-4-[(4R,5S)-2,2-dimethyl-5-[(1R,2R)-2-methyl-1-triethylsilyloxybut-3-enyl]-1,3-dioxolan-4-yl]-4-methoxybutanal",CID11957837,0.9899347826096877,10.846737265978582,strong
6,Doravirine,CID71731823,0.9839972484336373,11.11815954380247,strong
7,Lorlatinib,CID71731823,0.9839972484336373,11.11815954380247,strong
8,Histrelin,CID25077993,0.9524179694555783,12.680063461831809,strong
9,Paritaprevir,CID25077993,0.9524179694555783,12.680063461831809,strong
10,Tenofovir alafenamide,CID54671008,0.9460706968197047,13.019548599165493,strong
